period,msn,Item,seriesDescription,value,unit
1958,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,9966.544,Trillion Btu
1959,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,10312.056,Trillion Btu
1960,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,10570.081,Trillion Btu
1961,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,10744.075,Trillion Btu
1962,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,11195.086,Trillion Btu
1963,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,11630.016,Trillion Btu
1964,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,11973.286,Trillion Btu
1965,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,12408.722,Trillion Btu
1966,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,13077.211,Trillion Btu
1967,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,13728.255,Trillion Btu
1968,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,14841.497,Trillion Btu
1969,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,15481.728,Trillion Btu
1970,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,16072.575,Trillion Btu
1971,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,16704.864,Trillion Btu
1972,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,17692.575,Trillion Btu
1973,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,18587.821,Trillion Btu
1974,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,18096.955,Trillion Btu
1975,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,18220.698,Trillion Btu
1976,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19076.796,Trillion Btu
1977,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19796.708,Trillion Btu
1978,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,20592.859,Trillion Btu
1979,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,20447.398,Trillion Btu
1980,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19670.19,Trillion Btu
1981,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19488.685,Trillion Btu
1982,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19063.215,Trillion Btu
1983,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19146.832,Trillion Btu
1984,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,19622.935,Trillion Btu
1985,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,20055.653,Trillion Btu
1986,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,20755.017,Trillion Btu
1987,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,21434.368,Trillion Btu
1988,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,22282.563,Trillion Btu
1989,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,22441.049,Trillion Btu
1990,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,22381.791,Trillion Btu
1991,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,22081.091,Trillion Btu
1992,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,22378.836,Trillion Btu
1993,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,22633.946,Trillion Btu
1994,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,23280.59,Trillion Btu
1995,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,23773.607,Trillion Btu
1996,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,24381.347,Trillion Btu
1997,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,24684.873,Trillion Btu
1998,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,25186.37,Trillion Btu
1999,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,25876.267,Trillion Btu
2000,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26473.975,Trillion Btu
2001,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26198.878,Trillion Btu
2002,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26766.082,Trillion Btu
2003,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26830.121,Trillion Btu
2004,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,27772.292,Trillion Btu
2005,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28205.059,Trillion Btu
2006,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28642.865,Trillion Btu
2007,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28755.308,Trillion Btu
2008,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,27365.603,Trillion Btu
2009,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26536.439,Trillion Btu
2010,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26920.218,Trillion Btu
2011,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26549.327,Trillion Btu
2012,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26081.784,Trillion Btu
2013,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26566.773,Trillion Btu
2014,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26828.196,Trillion Btu
2015,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,27207.609,Trillion Btu
2016,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,27766.673,Trillion Btu
2017,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28005.233,Trillion Btu
2018,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28461.347,Trillion Btu
2019,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28628.865,Trillion Btu
2020,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,24419.216,Trillion Btu
2021,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,27041.355,Trillion Btu
2022,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,27643.327,Trillion Btu
2023,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28029.797,Trillion Btu
2024,TNACBUS,EnergyUse4_Transportation,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,28116.761,Trillion Btu
1949,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,868.393,Trillion Btu
1950,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,994.405,Trillion Btu
1951,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1126.931,Trillion Btu
1952,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1215.231,Trillion Btu
1953,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1351.892,Trillion Btu
1954,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1447.247,Trillion Btu
1955,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1694.904,Trillion Btu
1956,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1863.909,Trillion Btu
1957,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,1964.698,Trillion Btu
1958,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,2005.789,Trillion Btu
1959,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,2207.181,Trillion Btu
1960,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,2347.711,Trillion Btu
1961,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,2463.294,Trillion Btu
1962,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,2653.17,Trillion Btu
1963,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,2840.876,Trillion Btu
1964,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,3057.353,Trillion Btu
1965,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,3254.329,Trillion Btu
1966,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,3531.913,Trillion Btu
1967,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,3750.529,Trillion Btu
1968,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,4104.196,Trillion Btu
1969,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,4482.799,Trillion Btu
1970,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,4750.527,Trillion Btu
1971,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,5014.071,Trillion Btu
1972,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,5442.688,Trillion Btu
1973,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,5844.445,Trillion Btu
1974,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,5820.612,Trillion Btu
1975,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,5961.073,Trillion Btu
1976,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,6330.1,Trillion Btu
1977,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,6647.808,Trillion Btu
1978,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,6885.15,Trillion Btu
1979,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7066.59,Trillion Btu
1980,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7146.26,Trillion Btu
1981,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7325.915,Trillion Btu
1982,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7118.938,Trillion Btu
1983,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7339.057,Trillion Btu
1984,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7799.137,Trillion Btu
1985,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,7929.399,Trillion Btu
1986,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,8082.185,Trillion Btu
1987,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,8384.213,Trillion Btu
1988,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,8796.349,Trillion Btu
1989,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,9030.913,Trillion Btu
1990,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,9255.237,Trillion Btu
1991,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,9423.954,Trillion Btu
1992,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,9428.603,Trillion Btu
1993,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,9763.31,Trillion Btu
1994,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,10012.728,Trillion Btu
1995,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,10281.334,Trillion Btu
1996,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,10581.045,Trillion Btu
1997,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,10732.823,Trillion Btu
1998,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,11137.555,Trillion Btu
1999,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,11300.841,Trillion Btu
2000,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,11673.865,Trillion Btu
2001,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,11581.891,Trillion Btu
2002,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,11824.17,Trillion Btu
2003,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,11920.622,Trillion Btu
2004,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12104.0,Trillion Btu
2005,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12491.225,Trillion Btu
2006,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12521.763,Trillion Btu
2007,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12844.681,Trillion Btu
2008,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12740.287,Trillion Btu
2009,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12272.265,Trillion Btu
2010,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12811.519,Trillion Btu
2011,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12794.475,Trillion Btu
2012,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12606.145,Trillion Btu
2013,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12709.249,Trillion Btu
2014,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12845.157,Trillion Btu
2015,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12825.682,Trillion Btu
2016,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12837.519,Trillion Btu
2017,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12704.091,Trillion Btu
2018,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,13167.54,Trillion Btu
2019,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,13003.645,Trillion Btu
2020,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12684.705,Trillion Btu
2021,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,12985.643,Trillion Btu
2022,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,13399.501,Trillion Btu
2023,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,13218.952,Trillion Btu
2024,ESTCBUS,TotElectricity_2Used,Electricity Sales to Ultimate Customers in the End-Use Sectors in Trillion Btu,13517.968,Trillion Btu
1949,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,227.894,Trillion Btu
1950,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,246.348,Trillion Btu
1951,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,283.513,Trillion Btu
1952,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,319.175,Trillion Btu
1953,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,355.347,Trillion Btu
1954,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,396.571,Trillion Btu
1955,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,438.103,Trillion Btu
1956,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,489.542,Trillion Btu
1957,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,534.74,Trillion Btu
1958,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,578.308,Trillion Btu
1959,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,629.664,Trillion Btu
1960,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,687.393,Trillion Btu
1961,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,731.686,Trillion Btu
1962,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,794.32,Trillion Btu
1963,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,855.568,Trillion Btu
1964,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,927.525,Trillion Btu
1965,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,992.935,Trillion Btu
1966,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1081.223,Trillion Btu
1967,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1160.469,Trillion Btu
1968,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1301.916,Trillion Btu
1969,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1456.024,Trillion Btu
1970,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1590.983,Trillion Btu
1971,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1704.403,Trillion Btu
1972,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1837.735,Trillion Btu
1973,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1976.337,Trillion Btu
1974,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,1972.763,Trillion Btu
1975,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2006.735,Trillion Btu
1976,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2069.215,Trillion Btu
1977,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2201.555,Trillion Btu
1978,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2301.278,Trillion Btu
1979,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2329.778,Trillion Btu
1980,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2448.093,Trillion Btu
1981,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2464.368,Trillion Btu
1982,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2489.121,Trillion Btu
1983,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2562.235,Trillion Btu
1984,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2661.673,Trillion Btu
1985,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2708.902,Trillion Btu
1986,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2794.729,Trillion Btu
1987,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,2901.6,Trillion Btu
1988,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3046.459,Trillion Btu
1989,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3089.65,Trillion Btu
1990,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3152.752,Trillion Btu
1991,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3259.884,Trillion Btu
1992,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3193.423,Trillion Btu
1993,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3394.192,Trillion Btu
1994,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3440.939,Trillion Btu
1995,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3557.015,Trillion Btu
1996,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3693.53,Trillion Btu
1997,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3670.903,Trillion Btu
1998,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3855.932,Trillion Btu
1999,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,3906.478,Trillion Btu
2000,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4068.627,Trillion Btu
2001,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4099.882,Trillion Btu
2002,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4316.794,Trillion Btu
2003,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4353.111,Trillion Btu
2004,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4408.241,Trillion Btu
2005,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4637.683,Trillion Btu
2006,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4611.386,Trillion Btu
2007,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4750.326,Trillion Btu
2008,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4710.818,Trillion Btu
2009,ESRCBUS,ElectricityUse1_Residential,Electricity Sales to Ultimate Customers in the Residential Sector in Trillion Btu,4656.555,Trillion Btu
